Comment,Time
What the hell is going on America??? Completely disgusting on every sense.,2022-04-18T07:15:40Z
"'I can make a complete solid argument AGAINST abortion, VOID' of ALL religion '=)' the BIG question is, does anyone REALLY want to hear it?? '=)'",2022-04-18T07:06:43Z
Lol this is so funny 🤣 😂 😆  more to come hopefully. 🤣 I hope she gets life.,2022-04-18T03:47:12Z
Notice the woman charged is minority.,2022-04-18T02:37:28Z
They’ll start arresting women for having miscarriages.,2022-04-18T02:34:39Z
"Yes, ridiculous that this could happen but it's a bit disingenuous of DP to NOT make it clear the charges were dropped.",2022-04-18T02:26:31Z
Unbelievable.,2022-04-18T01:33:07Z
"I think Texas will use her as an example. She'll either use lethal injection, or they might even break out Old Sparky from retirement for this one. They also have to do this quickly. They aren't going to have her rot on Death Row for a political statement. She will meet her demise rather quickly. It will be pushed through as quickly as they can before anything can get in the way.",2022-04-18T00:31:42Z
as for 'morals' - The Bible actually condones forced abortion - the woman has no choice -(Numbers 5 ? ) 'the ordeal of the bitter water',2022-04-18T00:09:15Z
This can’t be true??!!😢. In 2022??  Wow so fucking sad!,2022-04-17T23:57:42Z
For some reason people seem to forget the 'old days' when women would seek/try back alley abortions then the fetus ' woman were either injured/sick or killed. Later we have legal abortions which saved women's lives ' gave counseling to women who may end up putting babies up for adoption or keeping them. Reps just love taking a situation ' making it worse. 🤮😡,2022-04-17T23:45:00Z
Well it is murder after all. Over 80 million innocent lives murdered since 1973 these people are barbarians.,2022-04-17T23:38:07Z
"charges were dropped because if it actually went to trial, the courts would throw the law out.",2022-04-17T23:13:07Z
good lock the b up forever,2022-04-17T22:48:17Z
Women who want to be free from oppression in Texas should flock to a much needed battleground state with more lax abortion laws. Tip the demographic and flip the new state more reliably to blue.,2022-04-17T22:43:46Z
"For those of us who have been following donnyT’s evil ways for years remember what he asked Marla. When donnyT found out Marla was pregnant, he asked her, “what are we going to do about it?” I guess marry her as he did. Back in the late 80’s donnyT was on a NBC talk show, and stated many times he is pro choice. I know people do change their minds on issues, but I will never believe donnyT is genuine.",2022-04-17T22:15:12Z
Why not sterilize men and problem solved 😂,2022-04-17T21:49:03Z
"When will stupid men stop trying to control women?!!! Ultimately they will fail.  Women are galvanized, will rise up and fight!",2022-04-17T21:11:53Z
Texass is why rights go to die.,2022-04-17T20:59:36Z
Curious how people froze to death in their homes and no one has been charged but a woman has an abortion and there are charges o-plenty,2022-04-17T19:33:07Z
Texas will pay heavily for this. Just my prediction.,2022-04-17T19:30:48Z
Texas gets their advise from the Taliban. I'm surprised they didn't stone her.,2022-04-17T19:29:46Z
"If that is murder, then that means that Texas considers that fetes as a person. That also should mean that any woman who is pregnant should be able to claim that fetes as a dependent and get all benefits available for it, including being able to claim it on her taxes.",2022-04-17T19:24:28Z
Imagine the supposedly most advanced country in the world still effectively burning witches at the stake,2022-04-17T19:08:50Z
If abortions are outlawed only outlaws will get abortions.,2022-04-17T19:07:59Z
This is disgusting. Texas is an abhorrent state.,2022-04-17T19:06:50Z
Conservatism is actually insane.,2022-04-17T19:06:25Z
Handmaid's Tale,2022-04-17T18:45:49Z
The US is sick,2022-04-17T18:43:08Z
"Soooooo.... can women take men to court for getting them pregnant against their will?'Just wondering, because that seems pretty fair to me. Especially since women aren't in control of the sperm that impregnate them, men are.",2022-04-17T18:39:41Z
This was predicted! It’s sad. I really feel bad for this woman,2022-04-17T18:37:10Z
"At this rate, by the time children born because of these bans reach adulthood, the republicans in Texas would have made it illegal for a woman to refuse a man's advances unless her husband is with her.",2022-04-17T18:34:50Z
Just another low life publicity stunt for the hard core right wing wannabe dictators ..😤,2022-04-17T18:30:33Z
This will only cause a brain drain in red states if they enforce a ban on abortion it will cause many to move out of the state.,2022-04-17T18:24:47Z
