Comment,no_symbols,no_punctuation_and_symbols,no_urls,no_urls2,lower_case,expanded_contractions,expanded_contractions2,spelling,spelling2,tokens,lemmas,lemmas_no_stopwords
"In 2022 republicans are trying to to take us back to the 1800's!  It's because they're backwards thinkers! They're afraid of losing their Power, they want to go back to a time when only White Men ruled!","In 2022 republicans are trying to to take us back to the 1800's!  It's because they're backwards thinkers! They're afraid of losing their Power, they want to go back to a time when only White Men ruled!",In  republicans are trying to to take us back to the s  Its because theyre backwards thinkers Theyre afraid of losing their Power they want to go back to a time when only White Men ruled,"In 2022 republicans are trying to to take us back to the 1800's!  It's because they're backwards thinkers! They're afraid of losing their Power, they want to go back to a time when only White Men ruled!",In  republicans are trying to to take us back to the s  Its because theyre backwards thinkers Theyre afraid of losing their Power they want to go back to a time when only White Men ruled,in  republicans are trying to to take us back to the s  its because theyre backwards thinkers theyre afraid of losing their power they want to go back to a time when only white men ruled,in republicans are trying to to take us back to the s it is because they are backwards thinkers they are afraid of losing their power they want to go back to a time when only white men ruled ,"In 2022 republicans are trying to to take us back to the 1800's! It's because they're backwards thinkers! They're afraid of losing their Power, they want to go back to a time when only White Men ruled! ",in republicans are trying to to take us back to the s it is because they are backwards thinkers they are afraid of losing their power they want to go back to a time when only white men ruled ,"In 2022 republicans are trying to to take us back to the 1800's! It's because they're backwards thinkers! They're afraid of losing their Power, they want to go back to a time when only White Men ruled! ","['in', 'republicans', 'are', 'trying', 'to', 'to', 'take', 'us', 'back', 'to', 'the', 's', 'it', 'is', 'because', 'they', 'are', 'backwards', 'thinkers', 'they', 'are', 'afraid', 'of', 'losing', 'their', 'power', 'they', 'want', 'to', 'go', 'back', 'to', 'a', 'time', 'when', 'only', 'white', 'men', 'ruled']","['in', 'republican', 'are', 'trying', 'to', 'to', 'take', 'u', 'back', 'to', 'the', 's', 'it', 'is', 'because', 'they', 'are', 'backwards', 'thinker', 'they', 'are', 'afraid', 'of', 'losing', 'their', 'power', 'they', 'want', 'to', 'go', 'back', 'to', 'a', 'time', 'when', 'only', 'white', 'men', 'ruled']","['republican', 'trying', 'take', 'u', 'back', 'backwards', 'thinker', 'afraid', 'losing', 'power', 'want', 'go', 'back', 'time', 'white', 'men', 'ruled']"
"omg ! my body my choice , if i can not afford to raise the child , refuse to put it in foster care , as there are already way too many children without families in the system as it is , what if it was a rape baby , sorry i wouldn't want the constant reminder of that kind of pain . what if carrying it to term would kill mother , child or both ? this is so screwed up .","omg ! my body my choice , if i can not afford to raise the child , refuse to put it in foster care , as there are already way too many children without families in the system as it is , what if it was a rape baby , sorry i wouldn't want the constant reminder of that kind of pain . what if carrying it to term would kill mother , child or both ? this is so screwed up .",omg  my body my choice  if i can not afford to raise the child  refuse to put it in foster care  as there are already way too many children without families in the system as it is  what if it was a rape baby  sorry i wouldnt want the constant reminder of that kind of pain  what if carrying it to term would kill mother  child or both  this is so screwed up ,"omg ! my body my choice , if i can not afford to raise the child , refuse to put it in foster care , as there are already way too many children without families in the system as it is , what if it was a rape baby , sorry i wouldn't want the constant reminder of that kind of pain . what if carrying it to term would kill mother , child or both ? this is so screwed up .",omg  my body my choice  if i can not afford to raise the child  refuse to put it in foster care  as there are already way too many children without families in the system as it is  what if it was a rape baby  sorry i wouldnt want the constant reminder of that kind of pain  what if carrying it to term would kill mother  child or both  this is so screwed up ,omg  my body my choice  if i can not afford to raise the child  refuse to put it in foster care  as there are already way too many children without families in the system as it is  what if it was a rape baby  sorry i wouldnt want the constant reminder of that kind of pain  what if carrying it to term would kill mother  child or both  this is so screwed up ,omg my body my choice if i can not afford to raise the child refuse to put it in foster care as there are already way too many children without families in the system as it is what if it was a rape baby sorry i would not want the constant reminder of that kind of pain what if carrying it to term would kill mother child or both this is so screwed up ,"omg ! my body my choice , if i can not afford to raise the child , refuse to put it in foster care , as there are already way too many children without families in the system as it is , what if it was a rape baby , sorry i wouldn't want the constant reminder of that kind of pain . what if carrying it to term would kill mother , child or both ? this is so screwed up . ",omg my body my choice if i can not afford to raise the child refuse to put it in foster care as there are already way too many children without families in the system as it is what if it was a rape baby sorry i would not want the constant reminder of that kind of pain what if carrying it to term would kill mother child or both this is so screwed up ,"omg ! my body my choice , if i can not afford to raise the child , refuse to put it in foster care , as there are already way too many children without families in the system as it is , what if it was a rape baby , sorry i wouldn't want the constant reminder of that kind of pain . what if carrying it to term would kill mother , child or both ? this is so screwed up . ","['omg', 'my', 'body', 'my', 'choice', 'if', 'i', 'can', 'not', 'afford', 'to', 'raise', 'the', 'child', 'refuse', 'to', 'put', 'it', 'in', 'foster', 'care', 'as', 'there', 'are', 'already', 'way', 'too', 'many', 'children', 'without', 'families', 'in', 'the', 'system', 'as', 'it', 'is', 'what', 'if', 'it', 'was', 'a', 'rape', 'baby', 'sorry', 'i', 'would', 'not', 'want', 'the', 'constant', 'reminder', 'of', 'that', 'kind', 'of', 'pain', 'what', 'if', 'carrying', 'it', 'to', 'term', 'would', 'kill', 'mother', 'child', 'or', 'both', 'this', 'is', 'so', 'screwed', 'up']","['omg', 'my', 'body', 'my', 'choice', 'if', 'i', 'can', 'not', 'afford', 'to', 'raise', 'the', 'child', 'refuse', 'to', 'put', 'it', 'in', 'foster', 'care', 'a', 'there', 'are', 'already', 'way', 'too', 'many', 'child', 'without', 'family', 'in', 'the', 'system', 'a', 'it', 'is', 'what', 'if', 'it', 'wa', 'a', 'rape', 'baby', 'sorry', 'i', 'would', 'not', 'want', 'the', 'constant', 'reminder', 'of', 'that', 'kind', 'of', 'pain', 'what', 'if', 'carrying', 'it', 'to', 'term', 'would', 'kill', 'mother', 'child', 'or', 'both', 'this', 'is', 'so', 'screwed', 'up']","['omg', 'body', 'choice', 'afford', 'raise', 'child', 'refuse', 'put', 'foster', 'care', 'already', 'way', 'many', 'child', 'without', 'family', 'system', 'wa', 'rape', 'baby', 'sorry', 'would', 'want', 'constant', 'reminder', 'kind', 'pain', 'carrying', 'term', 'would', 'kill', 'mother', 'child', 'screwed']"
May KARMA visit each and every one involved in this idiocy.,May KARMA visit each and every one involved in this idiocy.,May KARMA visit each and every one involved in this idiocy,May KARMA visit each and every one involved in this idiocy.,May KARMA visit each and every one involved in this idiocy,may karma visit each and every one involved in this idiocy,may karma visit each and every one involved in this idiocy ,May KARMA visit each and every one involved in this idiocy. ,may karma visit each and every one involved in this idiocy ,May KARMA visit each and every one involved in this idiocy. ,"['may', 'karma', 'visit', 'each', 'and', 'every', 'one', 'involved', 'in', 'this', 'idiocy']","['may', 'karma', 'visit', 'each', 'and', 'every', 'one', 'involved', 'in', 'this', 'idiocy']","['may', 'karma', 'visit', 'every', 'one', 'involved', 'idiocy']"
"If they want to start jailing women for miscarrying then they'll have to jail 50% of all women trying for a baby - a full 50% of ALL pregnancies SELF TERMINATE within the first three months. Happened to my mum, my sister, and my sister-in-law.","If they want to start jailing women for miscarrying then they'll have to jail 50% of all women trying for a baby - a full 50% of ALL pregnancies SELF TERMINATE within the first three months. Happened to my mum, my sister, and my sister-in-law.",If they want to start jailing women for miscarrying then theyll have to jail  of all women trying for a baby  a full  of ALL pregnancies SELF TERMINATE within the first three months Happened to my mum my sister and my sisterinlaw,"If they want to start jailing women for miscarrying then they'll have to jail 50% of all women trying for a baby - a full 50% of ALL pregnancies SELF TERMINATE within the first three months. Happened to my mum, my sister, and my sister-in-law.",If they want to start jailing women for miscarrying then theyll have to jail  of all women trying for a baby  a full  of ALL pregnancies SELF TERMINATE within the first three months Happened to my mum my sister and my sisterinlaw,if they want to start jailing women for miscarrying then theyll have to jail  of all women trying for a baby  a full  of all pregnancies self terminate within the first three months happened to my mum my sister and my sisterinlaw,if they want to start jailing women for miscarrying then they will have to jail of all women trying for a baby a full of all pregnancies self terminate within the first three months happened to my mum my sister and my sisterinlaw ,"If they want to start jailing women for miscarrying then they'll have to jail 50% of all women trying for a baby - a full 50% of ALL pregnancies SELF TERMINATE within the first three months. Happened to my mum, my sister, and my sister-in-law. ",if they want to start jailing women for miscarrying then they will have to jail of all women trying for a baby a full of all pregnancies self terminate within the first three months happened to my mum my sister and my sisterinlaw ,"If they want to start jailing women for miscarrying then they'll have to jail 50% of all women trying for a baby - a full 50% of ALL pregnancies SELF TERMINATE within the first three months. Happened to my mum, my sister, and my sister-in-law. ","['if', 'they', 'want', 'to', 'start', 'jailing', 'women', 'for', 'miscarrying', 'then', 'they', 'will', 'have', 'to', 'jail', 'of', 'all', 'women', 'trying', 'for', 'a', 'baby', 'a', 'full', 'of', 'all', 'pregnancies', 'self', 'terminate', 'within', 'the', 'first', 'three', 'months', 'happened', 'to', 'my', 'mum', 'my', 'sister', 'and', 'my', 'sisterinlaw']","['if', 'they', 'want', 'to', 'start', 'jailing', 'woman', 'for', 'miscarrying', 'then', 'they', 'will', 'have', 'to', 'jail', 'of', 'all', 'woman', 'trying', 'for', 'a', 'baby', 'a', 'full', 'of', 'all', 'pregnancy', 'self', 'terminate', 'within', 'the', 'first', 'three', 'month', 'happened', 'to', 'my', 'mum', 'my', 'sister', 'and', 'my', 'sisterinlaw']","['want', 'start', 'jailing', 'woman', 'miscarrying', 'jail', 'woman', 'trying', 'baby', 'full', 'pregnancy', 'self', 'terminate', 'within', 'first', 'three', 'month', 'happened', 'mum', 'sister', 'sisterinlaw']"
This is out of date.  Charges were dropped.,This is out of date.  Charges were dropped.,This is out of date  Charges were dropped,This is out of date.  Charges were dropped.,This is out of date  Charges were dropped,this is out of date  charges were dropped,this is out of date charges we are dropped ,This is out of date. Charges we are dropped. ,this is out of date charges we are dropped ,This is out of date. Charges we are dropped. ,"['this', 'is', 'out', 'of', 'date', 'charges', 'we', 'are', 'dropped']","['this', 'is', 'out', 'of', 'date', 'charge', 'we', 'are', 'dropped']","['date', 'charge', 'dropped']"
"A woman should prepare mentally, emotionally, financially and physically before having a child. Point blank. If a woman isn't prepared, then she shouldn't be 'out and about' around and having UNPROTECTED sex. An abortion is a 'cowards way out'. Put the baby up for adoption.","A woman should prepare mentally, emotionally, financially and physically before having a child. Point blank. If a woman isn't prepared, then she shouldn't be 'out and about' around and having UNPROTECTED sex. An abortion is a 'cowards way out'. Put the baby up for adoption.",A woman should prepare mentally emotionally financially and physically before having a child Point blank If a woman isnt prepared then she shouldnt be out and about around and having UNPROTECTED sex An abortion is a cowards way out Put the baby up for adoption,"A woman should prepare mentally, emotionally, financially and physically before having a child. Point blank. If a woman isn't prepared, then she shouldn't be 'out and about' around and having UNPROTECTED sex. An abortion is a 'cowards way out'. Put the baby up for adoption.",A woman should prepare mentally emotionally financially and physically before having a child Point blank If a woman isnt prepared then she shouldnt be out and about around and having UNPROTECTED sex An abortion is a cowards way out Put the baby up for adoption,a woman should prepare mentally emotionally financially and physically before having a child point blank if a woman isnt prepared then she shouldnt be out and about around and having unprotected sex an abortion is a cowards way out put the baby up for adoption,a woman should prepare mentally emotionally financially and physically before having a child point blank if a woman is not prepared then she should not be out and about around and having unprotected sex an abortion is a cowards way out put the baby up for adoption ,"A woman should prepare mentally, emotionally, financially and physically before having a child. Point blank. If a woman isn't prepared, then she shouldn't be 'out and about' around and having UNPROTECTED sex. An abortion is a 'cowards way out'. Put the baby up for adoption. ",a woman should prepare mentally emotionally financially and physically before having a child point blank if a woman is not prepared then she should not be out and about around and having unprotected sex an abortion is a cowards way out put the baby up for adoption ,"A woman should prepare mentally, emotionally, financially and physically before having a child. Point blank. If a woman isn't prepared, then she shouldn't be 'out and about' around and having UNPROTECTED sex. An abortion is a 'cowards way out'. Put the baby up for adoption. ","['a', 'woman', 'should', 'prepare', 'mentally', 'emotionally', 'financially', 'and', 'physically', 'before', 'having', 'a', 'child', 'point', 'blank', 'if', 'a', 'woman', 'is', 'not', 'prepared', 'then', 'she', 'should', 'not', 'be', 'out', 'and', 'about', 'around', 'and', 'having', 'unprotected', 'sex', 'an', 'abortion', 'is', 'a', 'cowards', 'way', 'out', 'put', 'the', 'baby', 'up', 'for', 'adoption']","['a', 'woman', 'should', 'prepare', 'mentally', 'emotionally', 'financially', 'and', 'physically', 'before', 'having', 'a', 'child', 'point', 'blank', 'if', 'a', 'woman', 'is', 'not', 'prepared', 'then', 'she', 'should', 'not', 'be', 'out', 'and', 'about', 'around', 'and', 'having', 'unprotected', 'sex', 'an', 'abortion', 'is', 'a', 'coward', 'way', 'out', 'put', 'the', 'baby', 'up', 'for', 'adoption']","['woman', 'prepare', 'mentally', 'emotionally', 'financially', 'physically', 'child', 'point', 'blank', 'woman', 'prepared', 'around', 'unprotected', 'sex', 'abortion', 'coward', 'way', 'put', 'baby', 'adoption']"
"I keep waiting for some kind of political backlash against the insanity of the Republican party, and it just doesn’t happen. It’s depressing.","I keep waiting for some kind of political backlash against the insanity of the Republican party, and it just doesn’t happen. It’s depressing.",I keep waiting for some kind of political backlash against the insanity of the Republican party and it just doesnt happen Its depressing,"I keep waiting for some kind of political backlash against the insanity of the Republican party, and it just doesn’t happen. It’s depressing.",I keep waiting for some kind of political backlash against the insanity of the Republican party and it just doesnt happen Its depressing,i keep waiting for some kind of political backlash against the insanity of the republican party and it just doesnt happen its depressing,i keep waiting for some kind of political backlash against the insanity of the republican party and it just does not happen it is depressing ,"I keep waiting for some kind of political backlash against the insanity of the Republican party, and it just doesn’t happen. It’s depressing. ",i keep waiting for some kind of political backlash against the insanity of the republican party and it just does not happen it is depressing ,"I keep waiting for some kind of political backlash against the insanity of the Republican party, and it just doesn’t happen. It’s depressing. ","['i', 'keep', 'waiting', 'for', 'some', 'kind', 'of', 'political', 'backlash', 'against', 'the', 'insanity', 'of', 'the', 'republican', 'party', 'and', 'it', 'just', 'does', 'not', 'happen', 'it', 'is', 'depressing']","['i', 'keep', 'waiting', 'for', 'some', 'kind', 'of', 'political', 'backlash', 'against', 'the', 'insanity', 'of', 'the', 'republican', 'party', 'and', 'it', 'just', 'doe', 'not', 'happen', 'it', 'is', 'depressing']","['keep', 'waiting', 'kind', 'political', 'backlash', 'insanity', 'republican', 'party', 'doe', 'happen', 'depressing']"
Remember when republicans said asking them to wear a mask was a HIPPA violation? Meanwhile it's perfectly okay for republicans to report women for having and exercising control over their own bodies.,Remember when republicans said asking them to wear a mask was a HIPPA violation? Meanwhile it's perfectly okay for republicans to report women for having and exercising control over their own bodies.,Remember when republicans said asking them to wear a mask was a HIPPA violation Meanwhile its perfectly okay for republicans to report women for having and exercising control over their own bodies,Remember when republicans said asking them to wear a mask was a HIPPA violation? Meanwhile it's perfectly okay for republicans to report women for having and exercising control over their own bodies.,Remember when republicans said asking them to wear a mask was a HIPPA violation Meanwhile its perfectly okay for republicans to report women for having and exercising control over their own bodies,remember when republicans said asking them to wear a mask was a hippa violation meanwhile its perfectly okay for republicans to report women for having and exercising control over their own bodies,remember when republicans said asking them to wear a mask was a hippa violation meanwhile it is perfectly okay for republicans to report women for having and exercising control over their own bodies ,Remember when republicans said asking them to wear a mask was a HIPPA violation? Meanwhile it's perfectly okay for republicans to report women for having and exercising control over their own bodies. ,remember when republicans said asking them to wear a mask was a hippa violation meanwhile it is perfectly okay for republicans to report women for having and exercising control over their own bodies ,Remember when republicans said asking them to wear a mask was a HIPPA violation? Meanwhile it's perfectly okay for republicans to report women for having and exercising control over their own bodies. ,"['remember', 'when', 'republicans', 'said', 'asking', 'them', 'to', 'wear', 'a', 'mask', 'was', 'a', 'hippa', 'violation', 'meanwhile', 'it', 'is', 'perfectly', 'okay', 'for', 'republicans', 'to', 'report', 'women', 'for', 'having', 'and', 'exercising', 'control', 'over', 'their', 'own', 'bodies']","['remember', 'when', 'republican', 'said', 'asking', 'them', 'to', 'wear', 'a', 'mask', 'wa', 'a', 'hippa', 'violation', 'meanwhile', 'it', 'is', 'perfectly', 'okay', 'for', 'republican', 'to', 'report', 'woman', 'for', 'having', 'and', 'exercising', 'control', 'over', 'their', 'own', 'body']","['remember', 'republican', 'said', 'asking', 'wear', 'mask', 'wa', 'hippa', 'violation', 'meanwhile', 'perfectly', 'okay', 'republican', 'report', 'woman', 'exercising', 'control', 'body']"
Is this a reupload?,Is this a reupload?,Is this a reupload,Is this a reupload?,Is this a reupload,is this a reupload,is this a reupload ,Is this a reupload? ,is this a reupload ,Is this a reupload? ,"['is', 'this', 'a', 'reupload']","['is', 'this', 'a', 'reupload']",['reupload']
America is deathly ill,America is deathly ill,America is deathly ill,America is deathly ill,America is deathly ill,america is deathly ill,america is deathly i will ,America is deathly i will ,america is deathly i will ,America is deathly i will ,"['america', 'is', 'deathly', 'i', 'will']","['america', 'is', 'deathly', 'i', 'will']","['america', 'deathly']"
Lock her up!,Lock her up!,Lock her up,Lock her up!,Lock her up,lock her up,lock her up ,Lock her up! ,lock her up ,Lock her up! ,"['lock', 'her', 'up']","['lock', 'her', 'up']",['lock']
Someone needs to start selling RU 486 online and the ladies need to use a VPN,Someone needs to start selling RU 486 online and the ladies need to use a VPN,Someone needs to start selling RU  online and the ladies need to use a VPN,Someone needs to start selling RU 486 online and the ladies need to use a VPN,Someone needs to start selling RU  online and the ladies need to use a VPN,someone needs to start selling ru  online and the ladies need to use a vpn,someone needs to start selling ru online and the ladies need to use a vpn ,Someone needs to start selling RU 486 online and the ladies need to use a VPN ,someone needs to start selling ru online and the ladies need to use a vpn ,Someone needs to start selling RU 486 online and the ladies need to use a VPN ,"['someone', 'needs', 'to', 'start', 'selling', 'ru', 'online', 'and', 'the', 'ladies', 'need', 'to', 'use', 'a', 'vpn']","['someone', 'need', 'to', 'start', 'selling', 'ru', 'online', 'and', 'the', 'lady', 'need', 'to', 'use', 'a', 'vpn']","['someone', 'need', 'start', 'selling', 'ru', 'online', 'lady', 'need', 'use', 'vpn']"
Remember when republicans said this wouldn't be the end result of their agenda????,Remember when republicans said this wouldn't be the end result of their agenda????,Remember when republicans said this wouldnt be the end result of their agenda,Remember when republicans said this wouldn't be the end result of their agenda????,Remember when republicans said this wouldnt be the end result of their agenda,remember when republicans said this wouldnt be the end result of their agenda,remember when republicans said this would not be the end result of their agenda ,Remember when republicans said this wouldn't be the end result of their agenda???? ,remember when republicans said this would not be the end result of their agenda ,Remember when republicans said this wouldn't be the end result of their agenda???? ,"['remember', 'when', 'republicans', 'said', 'this', 'would', 'not', 'be', 'the', 'end', 'result', 'of', 'their', 'agenda']","['remember', 'when', 'republican', 'said', 'this', 'would', 'not', 'be', 'the', 'end', 'result', 'of', 'their', 'agenda']","['remember', 'republican', 'said', 'would', 'end', 'result', 'agenda']"
"You ever talk about issues anymore or is that like he right treats issues, just a myth? No more healthcare talk, no more corporate greed talk, no more corporate lobbying talk…just nonsense like our government, both parties. Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless. Brilliant. Just brilliant.","You ever talk about issues anymore or is that like he right treats issues, just a myth? No more healthcare talk, no more corporate greed talk, no more corporate lobbying talk…just nonsense like our government, both parties. Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless. Brilliant. Just brilliant.",You ever talk about issues anymore or is that like he right treats issues just a myth No more healthcare talk no more corporate greed talk no more corporate lobbying talkjust nonsense like our government both parties Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless Brilliant Just brilliant,"You ever talk about issues anymore or is that like he right treats issues, just a myth? No more healthcare talk, no more corporate greed talk, no more corporate lobbying talk…just nonsense like our government, both parties. Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless. Brilliant. Just brilliant.",You ever talk about issues anymore or is that like he right treats issues just a myth No more healthcare talk no more corporate greed talk no more corporate lobbying talkjust nonsense like our government both parties Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless Brilliant Just brilliant,you ever talk about issues anymore or is that like he right treats issues just a myth no more healthcare talk no more corporate greed talk no more corporate lobbying talkjust nonsense like our government both parties must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless brilliant just brilliant,you ever talk about issues anymore or is that like he right treats issues just a myth no more healthcare talk no more corporate greed talk no more corporate lobbying talkjust nonsense like our government both parties must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless brilliant just brilliant ,"You ever talk about issues anymore or is that like he right treats issues, just a myth? No more healthcare talk, no more corporate greed talk, no more corporate lobbying talk…just nonsense like our government, both parties. Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless. Brilliant. Just brilliant. ",you ever talk about issues anymore or is that like he right treats issues just a myth no more healthcare talk no more corporate greed talk no more corporate lobbying talkjust nonsense like our government both parties must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless brilliant just brilliant ,"You ever talk about issues anymore or is that like he right treats issues, just a myth? No more healthcare talk, no more corporate greed talk, no more corporate lobbying talk…just nonsense like our government, both parties. Must be fun apologizing for a party that does nothing because they are competing against another party which is just as worthless. Brilliant. Just brilliant. ","['you', 'ever', 'talk', 'about', 'issues', 'anymore', 'or', 'is', 'that', 'like', 'he', 'right', 'treats', 'issues', 'just', 'a', 'myth', 'no', 'more', 'healthcare', 'talk', 'no', 'more', 'corporate', 'greed', 'talk', 'no', 'more', 'corporate', 'lobbying', 'talkjust', 'nonsense', 'like', 'our', 'government', 'both', 'parties', 'must', 'be', 'fun', 'apologizing', 'for', 'a', 'party', 'that', 'does', 'nothing', 'because', 'they', 'are', 'competing', 'against', 'another', 'party', 'which', 'is', 'just', 'as', 'worthless', 'brilliant', 'just', 'brilliant']","['you', 'ever', 'talk', 'about', 'issue', 'anymore', 'or', 'is', 'that', 'like', 'he', 'right', 'treat', 'issue', 'just', 'a', 'myth', 'no', 'more', 'healthcare', 'talk', 'no', 'more', 'corporate', 'greed', 'talk', 'no', 'more', 'corporate', 'lobbying', 'talkjust', 'nonsense', 'like', 'our', 'government', 'both', 'party', 'must', 'be', 'fun', 'apologizing', 'for', 'a', 'party', 'that', 'doe', 'nothing', 'because', 'they', 'are', 'competing', 'against', 'another', 'party', 'which', 'is', 'just', 'a', 'worthless', 'brilliant', 'just', 'brilliant']","['ever', 'talk', 'issue', 'anymore', 'like', 'right', 'treat', 'issue', 'myth', 'healthcare', 'talk', 'corporate', 'greed', 'talk', 'corporate', 'lobbying', 'talkjust', 'nonsense', 'like', 'government', 'party', 'must', 'fun', 'apologizing', 'party', 'doe', 'nothing', 'competing', 'another', 'party', 'worthless', 'brilliant', 'brilliant']"
"👍👍😎✌️ Welcome to nightmare America, “A Handmaid’s Tale.”","👍👍😎✌️ Welcome to nightmare America, “A Handmaid’s Tale.”", Welcome to nightmare America A Handmaids Tale,"👍👍😎✌️ Welcome to nightmare America, “A Handmaid’s Tale.”", Welcome to nightmare America A Handmaids Tale, welcome to nightmare america a handmaids tale,welcome to nightmare america a handmaids tale ,"👍👍😎✌️ Welcome to nightmare America, “A Handmaid’s Tale.” ",welcome to nightmare america a handmaids tale ,"👍👍😎✌️ Welcome to nightmare America, “A Handmaid’s Tale.” ","['welcome', 'to', 'nightmare', 'america', 'a', 'handmaids', 'tale']","['welcome', 'to', 'nightmare', 'america', 'a', 'handmaid', 'tale']","['welcome', 'nightmare', 'america', 'handmaid', 'tale']"
I’m so glad I don’t live in America. I will never live there. What a backward nutball of a country to be. So glad I live in the UK.,I’m so glad I don’t live in America. I will never live there. What a backward nutball of a country to be. So glad I live in the UK.,Im so glad I dont live in America I will never live there What a backward nutball of a country to be So glad I live in the UK,I’m so glad I don’t live in America. I will never live there. What a backward nutball of a country to be. So glad I live in the UK.,Im so glad I dont live in America I will never live there What a backward nutball of a country to be So glad I live in the UK,im so glad i dont live in america i will never live there what a backward nutball of a country to be so glad i live in the uk,i am so glad i do not live in america i will never live there what a backward nutball of a country to be so glad i live in the uk ,I’m so glad I don’t live in America. I will never live there. What a backward nutball of a country to be. So glad I live in the UK. ,i am so glad i do not live in america i will never live there what a backward nutball of a country to be so glad i live in the uk ,I’m so glad I don’t live in America. I will never live there. What a backward nutball of a country to be. So glad I live in the UK. ,"['i', 'am', 'so', 'glad', 'i', 'do', 'not', 'live', 'in', 'america', 'i', 'will', 'never', 'live', 'there', 'what', 'a', 'backward', 'nutball', 'of', 'a', 'country', 'to', 'be', 'so', 'glad', 'i', 'live', 'in', 'the', 'uk']","['i', 'am', 'so', 'glad', 'i', 'do', 'not', 'live', 'in', 'america', 'i', 'will', 'never', 'live', 'there', 'what', 'a', 'backward', 'nutball', 'of', 'a', 'country', 'to', 'be', 'so', 'glad', 'i', 'live', 'in', 'the', 'uk']","['glad', 'live', 'america', 'never', 'live', 'backward', 'nutball', 'country', 'glad', 'live', 'uk']"
Why are Republicans so fascinated with the female reproductive system?,Why are Republicans so fascinated with the female reproductive system?,Why are Republicans so fascinated with the female reproductive system,Why are Republicans so fascinated with the female reproductive system?,Why are Republicans so fascinated with the female reproductive system,why are republicans so fascinated with the female reproductive system,why are republicans so fascinated with the female reproductive system ,Why are Republicans so fascinated with the female reproductive system? ,why are republicans so fascinated with the female reproductive system ,Why are Republicans so fascinated with the female reproductive system? ,"['why', 'are', 'republicans', 'so', 'fascinated', 'with', 'the', 'female', 'reproductive', 'system']","['why', 'are', 'republican', 'so', 'fascinated', 'with', 'the', 'female', 'reproductive', 'system']","['republican', 'fascinated', 'female', 'reproductive', 'system']"
"AND SO IT BEGINS''We are not supposed to be making laws based on 'invisible sky gods, with magical powers'","AND SO IT BEGINS''We are not supposed to be making laws based on 'invisible sky gods, with magical powers'",AND SO IT BEGINSWe are not supposed to be making laws based on invisible sky gods with magical powers,"AND SO IT BEGINS''We are not supposed to be making laws based on 'invisible sky gods, with magical powers'",AND SO IT BEGINSWe are not supposed to be making laws based on invisible sky gods with magical powers,and so it beginswe are not supposed to be making laws based on invisible sky gods with magical powers,and so it beginswe are not supposed to be making laws based on invisible sky gods with magical powers ,"AND SO IT BEGINS''We are not supposed to be making laws based on 'invisible sky gods, with magical powers' ",and so it beginswe are not supposed to be making laws based on invisible sky gods with magical powers ,"AND SO IT BEGINS''We are not supposed to be making laws based on 'invisible sky gods, with magical powers' ","['and', 'so', 'it', 'beginswe', 'are', 'not', 'supposed', 'to', 'be', 'making', 'laws', 'based', 'on', 'invisible', 'sky', 'gods', 'with', 'magical', 'powers']","['and', 'so', 'it', 'beginswe', 'are', 'not', 'supposed', 'to', 'be', 'making', 'law', 'based', 'on', 'invisible', 'sky', 'god', 'with', 'magical', 'power']","['beginswe', 'supposed', 'making', 'law', 'based', 'invisible', 'sky', 'god', 'magical', 'power']"
